"","weave","exposure","target","replication","info"
"160","ds","bigm","goalinfo7","62",6.8370564491205
"161","ds","bigm","goalinfo7","63",6.83820680354726
"162","ds","bigm","goalinfo7","64",6.84058029471714
"163","ds","bigm","goalinfo7","65",6.84538229219662
"164","ds","bigm","goalinfo7","66",6.8509108668296
"165","ds","bigm","goalinfo7","67",6.85033268077261
"166","ds","bigm","goalinfo7","68",6.84721274505144
"167","ds","bigm","goalinfo7","69",6.84069773508714
"168","ds","bigm","goalinfo7","7",6.83948025154992
"169","ds","bigm","goalinfo7","70",6.85284859371983
"170","ds","bigm","goalinfo7","71",6.839829204729
"171","ds","bigm","goalinfo7","72",6.84065860234572
"172","ds","bigm","goalinfo7","73",6.83711096461561
"173","ds","bigm","goalinfo7","74",6.82572650958283
"174","ds","bigm","goalinfo7","75",6.8432182834939
"175","ds","bigm","goalinfo7","76",6.83723450628426
"176","ds","bigm","goalinfo7","77",6.8469843646872
"177","ds","bigm","goalinfo7","78",6.85194867600111
"178","ds","bigm","goalinfo7","79",6.84449796579181
"179","ds","bigm","goalinfo7","8",6.84150988755342
"180","ds","bigm","goalinfo7","80",6.83615100563682
"181","ds","bigm","goalinfo7","81",6.84280373694592
"182","ds","bigm","goalinfo7","82",6.84535496864681
"183","ds","bigm","goalinfo7","83",6.83623611175435
"184","ds","bigm","goalinfo7","84",6.85205981139685
"185","ds","bigm","goalinfo7","85",6.83990553819603
"186","ds","bigm","goalinfo7","86",6.84812625430717
"187","ds","bigm","goalinfo7","87",6.84311223904207
"188","ds","bigm","goalinfo7","88",6.85432573233504
"189","ds","bigm","goalinfo7","89",6.84200893062095
"190","ds","bigm","goalinfo7","9",6.83632284482708
"191","ds","bigm","goalinfo7","90",6.84609307908591
"192","ds","bigm","goalinfo7","91",6.83689701392538
"193","ds","bigm","goalinfo7","92",6.83514132848159
"194","ds","bigm","goalinfo7","93",6.83734319170401
"195","ds","bigm","goalinfo7","94",6.83778384132526
"196","ds","bigm","goalinfo7","95",6.8465272143577
"197","ds","bigm","goalinfo7","96",6.83555725778671
"198","ds","bigm","goalinfo7","97",6.85235388270051
"199","ds","bigm","goalinfo7","98",6.84380650964152
"200","ds","bigm","goalinfo7","99",6.84538206906491
"201","ds","bigm","goalinfo8","1",7.72140296266666
"202","ds","bigm","goalinfo8","10",7.72206643076086
"203","ds","bigm","goalinfo8","100",7.72601700753331
"204","ds","bigm","goalinfo8","11",7.7476712569053
"205","ds","bigm","goalinfo8","12",7.73839105000782
"206","ds","bigm","goalinfo8","13",7.73086900776448
"207","ds","bigm","goalinfo8","14",7.72721928868122
"208","ds","bigm","goalinfo8","15",7.72620875176649
"209","ds","bigm","goalinfo8","16",7.72558873274725
"210","ds","bigm","goalinfo8","17",7.73281554772953
"211","ds","bigm","goalinfo8","18",7.73408613300612
"212","ds","bigm","goalinfo8","19",7.7375306134761
"213","ds","bigm","goalinfo8","2",7.74081015884447
"214","ds","bigm","goalinfo8","20",7.73942963629701
"215","ds","bigm","goalinfo8","21",7.7264604485346
"216","ds","bigm","goalinfo8","22",7.74037840927303
"217","ds","bigm","goalinfo8","23",7.73851324053535
"218","ds","bigm","goalinfo8","24",7.7313081209558
"219","ds","bigm","goalinfo8","25",7.73580400423929
"220","ds","bigm","goalinfo8","26",7.74067473817999
"221","ds","bigm","goalinfo8","27",7.71218402622113
"222","ds","bigm","goalinfo8","28",7.75433865539075
"223","ds","bigm","goalinfo8","29",7.72540966343617
"224","ds","bigm","goalinfo8","3",7.73654921697556
"225","ds","bigm","goalinfo8","30",7.74204259329296
"226","ds","bigm","goalinfo8","31",7.73198596354646
"227","ds","bigm","goalinfo8","32",7.73489432366356
"228","ds","bigm","goalinfo8","33",7.75465793623409
"229","ds","bigm","goalinfo8","34",7.74291342776312
"230","ds","bigm","goalinfo8","35",7.72918779269205
"231","ds","bigm","goalinfo8","36",7.72786780281658
"232","ds","bigm","goalinfo8","37",7.71971484141004
"233","ds","bigm","goalinfo8","38",7.74467295036625
"234","ds","bigm","goalinfo8","39",7.73200010608329
"235","ds","bigm","goalinfo8","4",7.74455165258882
"236","ds","bigm","goalinfo8","40",7.72303204402694
"237","ds","bigm","goalinfo8","41",7.73861277774777
"238","ds","bigm","goalinfo8","42",7.72503447910731
"239","ds","bigm","goalinfo8","43",7.74588773829628
"240","ds","bigm","goalinfo8","44",7.73658021257668
"241","ds","bigm","goalinfo8","45",7.7372238344696
"242","ds","bigm","goalinfo8","46",7.74372794834133
"243","ds","bigm","goalinfo8","47",7.72730406479472
"244","ds","bigm","goalinfo8","48",7.74966292518565
"245","ds","bigm","goalinfo8","49",7.7284700719443
"246","ds","bigm","goalinfo8","5",7.72512343172087
"247","ds","bigm","goalinfo8","50",7.72573437019319
"248","ds","bigm","goalinfo8","51",7.73734937618619
"249","ds","bigm","goalinfo8","52",7.74499922633529
"250","ds","bigm","goalinfo8","53",7.74095953121857
"251","ds","bigm","goalinfo8","54",7.71341453673478
"252","ds","bigm","goalinfo8","55",7.72372686030803
"253","ds","bigm","goalinfo8","56",7.73156343945948
"254","ds","bigm","goalinfo8","57",7.72796040888255
"255","ds","bigm","goalinfo8","58",7.74453413294053
"256","ds","bigm","goalinfo8","59",7.7452377787286
"257","ds","bigm","goalinfo8","6",7.74190782240968
"258","ds","bigm","goalinfo8","60",7.72747578170256
"259","ds","bigm","goalinfo8","61",7.71944023881301
"260","ds","bigm","goalinfo8","62",7.72727457940524
"261","ds","bigm","goalinfo8","63",7.72325086451215
"262","ds","bigm","goalinfo8","64",7.73042369481528
"263","ds","bigm","goalinfo8","65",7.73821835136856
"264","ds","bigm","goalinfo8","66",7.75013823438197
"265","ds","bigm","goalinfo8","67",7.74355561109529
"266","ds","bigm","goalinfo8","68",7.75098612165783
"267","ds","bigm","goalinfo8","69",7.72920486798428
"268","ds","bigm","goalinfo8","7",7.74515759798985
"269","ds","bigm","goalinfo8","70",7.75365400449347
"270","ds","bigm","goalinfo8","71",7.73864886466133
"271","ds","bigm","goalinfo8","72",7.73390340470833
"272","ds","bigm","goalinfo8","73",7.72966733018494
"273","ds","bigm","goalinfo8","74",7.72579900409685
"274","ds","bigm","goalinfo8","75",7.73987194429928
