"weave","exposure","target","refresh","replication","rmse","rmse_-2","rmse_-1","rmse_0","rmse_1","rmse_2","overexposed","sd_exposure"
"ds","bigm","goalinfo6","setlevel","3",0.40720928457062,0.469691257424479,0.384978364031771,0.346842766098844,0.373779667341148,0.447512731680629,0,0.048004973027943
"ds","bigm","goalinfo6","setlevel","30",0.410405065243235,0.470943614055353,0.390239606832293,0.356651563737174,0.38362460570825,0.440134721994753,0,0.0481342545960138
"ds","bigm","goalinfo6","setlevel","31",0.404940565328054,0.468053998727732,0.377285362302199,0.341554196337917,0.366147683916767,0.455787364277299,0,0.0480700809885906
"ds","bigm","goalinfo6","setlevel","32",0.413672998415103,0.493003673194684,0.376077592281078,0.338958693853571,0.382597113368629,0.458111584215461,0,0.0482127875870972
"ds","bigm","goalinfo6","setlevel","33",0.407998563468818,0.467050417055287,0.375999241632164,0.3540693417972,0.367259583088408,0.461040038405169,0,0.0478941779855534
"ds","bigm","goalinfo6","setlevel","34",0.405526147131097,0.459336804842454,0.378023367126932,0.339315869237793,0.372884621347747,0.462803536831616,0,0.0479304929156023
"ds","bigm","goalinfo6","setlevel","35",0.408194259958834,0.459714679346488,0.378362146725428,0.355062524127714,0.366212836999888,0.467371405642166,0,0.0477603309032589
"ds","bigm","goalinfo6","setlevel","36",0.410673941022352,0.478726705664438,0.38140354062486,0.343587636956438,0.378830636078719,0.455030102911367,0,0.0484905422350551
"ds","bigm","goalinfo6","setlevel","37",0.410692315621319,0.476891495617093,0.379999975553377,0.346460128945691,0.377125165088565,0.457446608302419,0,0.047864978476027
"ds","bigm","goalinfo6","setlevel","38",0.412775573386427,0.487057194187656,0.378644117580597,0.352401718916769,0.368163077448069,0.459990509296223,0,0.0481417497694573
"ds","bigm","goalinfo6","setlevel","39",0.414574047628022,0.474294995273866,0.382864867400749,0.352704808752917,0.392753904206661,0.457340840309249,0,0.048534329235535
"ds","bigm","goalinfo6","setlevel","4",0.408220798906802,0.467533017142778,0.385146164534693,0.353324257338657,0.374166139611052,0.448840820637753,0,0.047679595110787
"ds","bigm","goalinfo6","setlevel","40",0.407221542299916,0.469863150559003,0.395461120877538,0.348743283341553,0.380349055078189,0.430927793037235,0,0.0470283140071668
"ds","bigm","goalinfo6","setlevel","41",0.412418097425972,0.476583764129726,0.365458183607427,0.358000715651331,0.369648892187227,0.47428562209125,0,0.0482120855658709
"ds","bigm","goalinfo6","setlevel","42",0.40915665185096,0.471778891324146,0.393205688067566,0.348495305415602,0.380317918100482,0.440192113305895,0,0.0477927477037301
"ds","bigm","goalinfo6","setlevel","43",0.404149271826494,0.468594378275083,0.367159416948091,0.338542475392066,0.378831069588178,0.451854460921704,0,0.048319491112456
"ds","bigm","goalinfo6","setlevel","44",0.410421491100499,0.46628634828703,0.381089989351138,0.352096275358971,0.379052293119577,0.460352077395565,0,0.0474548654845424
"ds","bigm","goalinfo6","setlevel","45",0.406520921045214,0.467037273085679,0.369187998113449,0.34284401679007,0.385274520948042,0.453755691418225,0,0.0481464180307611
"ds","bigm","goalinfo6","setlevel","46",0.411381209012912,0.472511218765382,0.385767059440778,0.361661775587653,0.380678177984997,0.44539230406542,0,0.0477168709844921
"ds","bigm","goalinfo6","setlevel","47",0.399804426344082,0.444937158653973,0.360020940428902,0.359207639488169,0.360846348756366,0.460861723563322,0,0.048307062474465
"ds","bigm","goalinfo6","setlevel","48",0.412686409740627,0.470347938664408,0.391308605567842,0.352622502133216,0.3852174341363,0.452178786712173,0.00166944908180301,0.0478462739447579
"ds","bigm","goalinfo6","setlevel","49",0.40501189389087,0.470557915016929,0.368337885148626,0.357321077071057,0.369212787538116,0.446182907946526,0,0.0478836798916085
"ds","bigm","goalinfo6","setlevel","5",0.413045753705499,0.472226554092557,0.393505670295128,0.351830633175674,0.382155722703021,0.453168347847361,0,0.0482230822619032
"ds","bigm","goalinfo6","setlevel","50",0.40896364629817,0.470372018835549,0.384116949137278,0.355056243879739,0.370310275592195,0.451957981146872,0,0.048230033843141
"ds","bigm","goalinfo6","setlevel","51",0.410655772873101,0.475627591189994,0.376278598339364,0.342488697640063,0.373547396439528,0.467490603651721,0,0.0477547480764126
"ds","bigm","goalinfo6","setlevel","52",0.405500712561605,0.463221543241691,0.368880987926152,0.351295687429428,0.374414710770346,0.455973379064504,0,0.0479315367792671
"ds","bigm","goalinfo6","setlevel","53",0.414191750821701,0.481152849761339,0.388760201470744,0.353982684634628,0.38627256246067,0.447907623993642,0,0.0479895108797442
"ds","bigm","goalinfo6","setlevel","54",0.4135992152453,0.476764500701024,0.382917158653127,0.355959430699493,0.379050384432598,0.459353137025919,0,0.0468780411968155
"ds","bigm","goalinfo6","setlevel","55",0.404322022955083,0.45776806508739,0.391324116590968,0.336249545236658,0.373155902061449,0.449873584107518,0,0.047512124598975
