"weave","exposure","target","replication","rmse","overexposed","sd_exposure"
"ds","bigm","goalinfo6","6",0.375158474110877,0.00500834724540901,0.0571380898789258
"ds","bigm","goalinfo6","60",0.378361688515474,0.00667779632721202,0.0571094587456658
"ds","bigm","goalinfo6","61",0.392067573867715,0.00834724540901502,0.0569370265639326
"ds","bigm","goalinfo6","62",0.385652497545358,0.00834724540901502,0.0569586470069151
"ds","bigm","goalinfo6","63",0.381164353029073,0.00834724540901502,0.0573410973804257
"ds","bigm","goalinfo6","64",0.378233131353696,0.011686143572621,0.0567880573314533
"ds","bigm","goalinfo6","65",0.382534135754522,0.010016694490818,0.0570474306324838
"ds","bigm","goalinfo6","66",0.374478307777554,0.00667779632721202,0.0571876098442178
"ds","bigm","goalinfo6","67",0.379714152216021,0.00834724540901502,0.0568307830637671
"ds","bigm","goalinfo6","68",0.380675268571755,0.013355592654424,0.0569747439554709
"ds","bigm","goalinfo6","69",0.381517109756956,0.013355592654424,0.0573385321419153
"ds","bigm","goalinfo6","7",0.381605402648775,0.011686143572621,0.0567775472954328
"ds","bigm","goalinfo6","70",0.378471811705353,0.011686143572621,0.0570377095583941
"ds","bigm","goalinfo6","71",0.386292217479372,0.011686143572621,0.056863802346953
"ds","bigm","goalinfo6","72",0.380406606250491,0.011686143572621,0.0569534760902091
"ds","bigm","goalinfo6","73",0.375165305919156,0.010016694490818,0.0573675678127575
"ds","bigm","goalinfo6","74",0.382673946411885,0.00500834724540901,0.0565987317178491
"ds","bigm","goalinfo6","75",0.377218195056373,0.00834724540901502,0.0572458020306228
"ds","bigm","goalinfo6","76",0.380918051420084,0.00166944908180301,0.0571199463544386
"ds","bigm","goalinfo6","77",0.38192269287874,0.00500834724540901,0.0570994295957736
"ds","bigm","goalinfo6","78",0.382996767264071,0.00834724540901502,0.056909355644114
"ds","bigm","goalinfo6","79",0.380086670563916,0.00667779632721202,0.0570106459925142
"ds","bigm","goalinfo6","8",0.371677900694312,0.010016694490818,0.0568898681749692
"ds","bigm","goalinfo6","80",0.381817669235808,0.00667779632721202,0.0571445223277705
"ds","bigm","goalinfo6","81",0.377173830611473,0.010016694490818,0.0571049515857794
